age,gender,province,education,language,religion,n
18-29,Female,Newfoundland and Labrador,Less than high school,English only,Yes,6
18-29,Female,Newfoundland and Labrador,University below the bachelor's level,English only,Yes,2
18-29,Female,Nova Scotia,Bachelor's degree,Both English and French,Yes,1
18-29,Female,Nova Scotia,Bachelor's degree,English only,No,1
18-29,Female,Nova Scotia,Bachelor's degree,English only,Yes,5
18-29,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
18-29,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,No,8
18-29,Female,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,8
18-29,Female,Nova Scotia,Degree above the bachelor's level,English only,No,1
18-29,Female,Nova Scotia,Degree above the bachelor's level,English only,Yes,2
18-29,Female,Nova Scotia,Don't know/ Prefer not to answer,English only,No,2
18-29,Female,Nova Scotia,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Female,Nova Scotia,High school diploma or its equivalent,English only,No,5
18-29,Female,Nova Scotia,High school diploma or its equivalent,English only,Yes,11
18-29,Female,Nova Scotia,High school diploma or its equivalent,French only,No,1
18-29,Female,Nova Scotia,Less than high school,Both English and French,Yes,2
18-29,Female,Nova Scotia,Less than high school,English only,No,2
18-29,Female,Nova Scotia,Less than high school,English only,Yes,5
18-29,Female,Nova Scotia,University below the bachelor's level,English only,No,1
18-29,Female,Ontario,Bachelor's degree,Both English and French,No,5
18-29,Female,Ontario,Bachelor's degree,Both English and French,Yes,7
18-29,Female,Ontario,Bachelor's degree,English only,No,30
18-29,Female,Ontario,Bachelor's degree,English only,Yes,22
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,4
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,24
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,33
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",French only,Yes,1
18-29,Female,Ontario,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
18-29,Female,Ontario,Degree above the bachelor's level,Both English and French,No,2
18-29,Female,Ontario,Degree above the bachelor's level,Both English and French,Yes,1
18-29,Female,Ontario,Degree above the bachelor's level,English only,No,4
18-29,Female,Ontario,Degree above the bachelor's level,English only,Yes,5
18-29,Female,Ontario,Don't know/ Prefer not to answer,Neither English nor French,No,1
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,No,5
18-29,Female,Ontario,High school diploma or its equivalent,Both English and French,Yes,5
18-29,Female,Ontario,High school diploma or its equivalent,English only,No,34
18-29,Female,Ontario,High school diploma or its equivalent,English only,Yes,49
18-29,Female,Ontario,High school diploma or its equivalent,Neither English nor French,No,1
18-29,Female,Ontario,Less than high school,Both English and French,No,4
18-29,Female,Ontario,Less than high school,Both English and French,Yes,9
18-29,Female,Ontario,Less than high school,English only,No,15
18-29,Female,Ontario,Less than high school,English only,Yes,31
18-29,Female,Ontario,Less than high school,French only,No,1
18-29,Female,Ontario,Less than high school,Neither English nor French,No,1
18-29,Female,Ontario,University below the bachelor's level,Both English and French,Yes,1
18-29,Female,Ontario,University below the bachelor's level,English only,No,1
18-29,Female,Ontario,University below the bachelor's level,English only,Yes,5
18-29,Female,Prince Edward Island,Bachelor's degree,Both English and French,No,1
18-29,Female,Prince Edward Island,Bachelor's degree,Both English and French,Yes,1
18-29,Female,Prince Edward Island,Bachelor's degree,English only,No,1
18-29,Female,Prince Edward Island,Bachelor's degree,English only,Yes,1
18-29,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
18-29,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,No,1
18-29,Female,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,Yes,4
18-29,Female,Prince Edward Island,Don't know/ Prefer not to answer,Both English and French,Yes,1
18-29,Female,Prince Edward Island,High school diploma or its equivalent,Both English and French,No,3
18-29,Female,Prince Edward Island,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Female,Prince Edward Island,High school diploma or its equivalent,English only,No,4
18-29,Female,Prince Edward Island,High school diploma or its equivalent,English only,Yes,5
18-29,Female,Prince Edward Island,Less than high school,Both English and French,Yes,2
18-29,Female,Prince Edward Island,Less than high school,English only,No,3
18-29,Female,Prince Edward Island,Less than high school,English only,Yes,3
18-29,Female,Quebec,Bachelor's degree,Both English and French,No,8
18-29,Female,Quebec,Bachelor's degree,Both English and French,Yes,17
18-29,Female,Quebec,Bachelor's degree,English only,No,1
18-29,Female,Quebec,Bachelor's degree,English only,Yes,1
18-29,Female,Quebec,Bachelor's degree,French only,No,2
18-29,Female,Quebec,Bachelor's degree,French only,Yes,3
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,13
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,35
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,5
18-29,Female,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,18
18-29,Female,Quebec,Degree above the bachelor's level,Both English and French,Yes,3
18-29,Female,Quebec,Degree above the bachelor's level,French only,No,1
18-29,Female,Quebec,Degree above the bachelor's level,French only,Yes,1
18-29,Female,Quebec,Don't know/ Prefer not to answer,Both English and French,No,1
18-29,Female,Quebec,Don't know/ Prefer not to answer,Both English and French,Yes,1
18-29,Female,Quebec,Don't know/ Prefer not to answer,English only,No,1
18-29,Female,Quebec,Don't know/ Prefer not to answer,French only,Yes,2
18-29,Female,Quebec,Don't know/ Prefer not to answer,Neither English nor French,No,1
18-29,Female,Quebec,High school diploma or its equivalent,Both English and French,No,7
18-29,Female,Quebec,High school diploma or its equivalent,Both English and French,Yes,31
18-29,Female,Quebec,High school diploma or its equivalent,English only,No,2
18-29,Female,Quebec,High school diploma or its equivalent,English only,Yes,2
18-29,Female,Quebec,High school diploma or its equivalent,French only,No,1
18-29,Female,Quebec,High school diploma or its equivalent,French only,Yes,9
18-29,Female,Quebec,High school diploma or its equivalent,Neither English nor French,No,1
18-29,Female,Quebec,Less than high school,Both English and French,No,4
18-29,Female,Quebec,Less than high school,Both English and French,Yes,13
18-29,Female,Quebec,Less than high school,French only,No,4
18-29,Female,Quebec,Less than high school,French only,Yes,8
18-29,Female,Quebec,University below the bachelor's level,Both English and French,Yes,4
18-29,Female,Quebec,University below the bachelor's level,French only,Yes,1
18-29,Female,Saskatchewan,Bachelor's degree,English only,No,3
18-29,Female,Saskatchewan,Bachelor's degree,English only,Yes,9
18-29,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,No,5
18-29,Female,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,10
18-29,Female,Saskatchewan,Degree above the bachelor's level,English only,Yes,1
18-29,Female,Saskatchewan,Don't know/ Prefer not to answer,English only,No,2
18-29,Female,Saskatchewan,High school diploma or its equivalent,Both English and French,No,1
18-29,Female,Saskatchewan,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Female,Saskatchewan,High school diploma or its equivalent,English only,No,7
18-29,Female,Saskatchewan,High school diploma or its equivalent,English only,Yes,8
18-29,Female,Saskatchewan,Less than high school,Both English and French,No,1
18-29,Female,Saskatchewan,Less than high school,English only,No,5
18-29,Female,Saskatchewan,Less than high school,English only,Yes,8
18-29,Female,Saskatchewan,University below the bachelor's level,English only,No,2
18-29,Female,Saskatchewan,University below the bachelor's level,English only,Yes,1
18-29,Male,Alberta,Bachelor's degree,Both English and French,Yes,1
18-29,Male,Alberta,Bachelor's degree,English only,No,7
18-29,Male,Alberta,Bachelor's degree,English only,Yes,9
18-29,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,4
18-29,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,8
18-29,Male,Alberta,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
18-29,Male,Alberta,Degree above the bachelor's level,English only,No,2
18-29,Male,Alberta,Don't know/ Prefer not to answer,Both English and French,Yes,1
18-29,Male,Alberta,Don't know/ Prefer not to answer,English only,No,2
18-29,Male,Alberta,High school diploma or its equivalent,Both English and French,No,2
18-29,Male,Alberta,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Male,Alberta,High school diploma or its equivalent,English only,No,20
18-29,Male,Alberta,High school diploma or its equivalent,English only,Yes,23
18-29,Male,Alberta,Less than high school,English only,No,6
18-29,Male,Alberta,Less than high school,English only,Yes,13
18-29,Male,Alberta,University below the bachelor's level,English only,No,1
18-29,Male,Alberta,University below the bachelor's level,English only,Yes,1
18-29,Male,British Columbia,Bachelor's degree,Both English and French,No,1
18-29,Male,British Columbia,Bachelor's degree,English only,No,7
18-29,Male,British Columbia,Bachelor's degree,English only,Yes,6
18-29,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,No,12
18-29,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,7
18-29,Male,British Columbia,"College, CEGEP, or other technical or non-university certificate",Neither English nor French,No,1
18-29,Male,British Columbia,Degree above the bachelor's level,English only,No,2
18-29,Male,British Columbia,Degree above the bachelor's level,English only,Yes,2
18-29,Male,British Columbia,Don't know/ Prefer not to answer,Both English and French,No,1
18-29,Male,British Columbia,Don't know/ Prefer not to answer,English only,No,1
18-29,Male,British Columbia,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Male,British Columbia,High school diploma or its equivalent,Both English and French,No,4
18-29,Male,British Columbia,High school diploma or its equivalent,Both English and French,Yes,2
18-29,Male,British Columbia,High school diploma or its equivalent,English only,No,26
18-29,Male,British Columbia,High school diploma or its equivalent,English only,Yes,23
18-29,Male,British Columbia,High school diploma or its equivalent,Neither English nor French,Yes,1
18-29,Male,British Columbia,Less than high school,Both English and French,No,1
18-29,Male,British Columbia,Less than high school,Both English and French,Yes,1
18-29,Male,British Columbia,Less than high school,English only,No,14
18-29,Male,British Columbia,Less than high school,English only,Yes,7
18-29,Male,British Columbia,University below the bachelor's level,English only,No,4
18-29,Male,British Columbia,University below the bachelor's level,English only,Yes,2
18-29,Male,Manitoba,Bachelor's degree,Both English and French,Yes,1
18-29,Male,Manitoba,Bachelor's degree,English only,No,3
18-29,Male,Manitoba,Bachelor's degree,English only,Yes,4
18-29,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,No,7
18-29,Male,Manitoba,"College, CEGEP, or other technical or non-university certificate",English only,Yes,7
18-29,Male,Manitoba,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Male,Manitoba,High school diploma or its equivalent,Both English and French,No,1
18-29,Male,Manitoba,High school diploma or its equivalent,English only,No,10
18-29,Male,Manitoba,High school diploma or its equivalent,English only,Yes,14
18-29,Male,Manitoba,Less than high school,English only,No,3
18-29,Male,Manitoba,Less than high school,English only,Yes,2
18-29,Male,Manitoba,University below the bachelor's level,English only,No,1
18-29,Male,New Brunswick,Bachelor's degree,Both English and French,No,2
18-29,Male,New Brunswick,Bachelor's degree,Both English and French,Yes,3
18-29,Male,New Brunswick,Bachelor's degree,English only,No,1
18-29,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
18-29,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,No,2
18-29,Male,New Brunswick,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
18-29,Male,New Brunswick,High school diploma or its equivalent,Both English and French,No,1
18-29,Male,New Brunswick,High school diploma or its equivalent,Both English and French,Yes,4
18-29,Male,New Brunswick,High school diploma or its equivalent,English only,No,6
18-29,Male,New Brunswick,High school diploma or its equivalent,English only,Yes,5
18-29,Male,New Brunswick,Less than high school,Both English and French,No,1
18-29,Male,New Brunswick,Less than high school,Both English and French,Yes,6
18-29,Male,New Brunswick,Less than high school,English only,No,1
18-29,Male,New Brunswick,Less than high school,English only,Yes,2
18-29,Male,Newfoundland and Labrador,Bachelor's degree,Both English and French,No,2
18-29,Male,Newfoundland and Labrador,Bachelor's degree,Both English and French,Yes,1
18-29,Male,Newfoundland and Labrador,Bachelor's degree,English only,No,1
18-29,Male,Newfoundland and Labrador,Bachelor's degree,English only,Yes,4
18-29,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
18-29,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,No,2
18-29,Male,Newfoundland and Labrador,"College, CEGEP, or other technical or non-university certificate",English only,Yes,7
18-29,Male,Newfoundland and Labrador,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Male,Newfoundland and Labrador,High school diploma or its equivalent,Both English and French,Yes,1
18-29,Male,Newfoundland and Labrador,High school diploma or its equivalent,English only,No,6
18-29,Male,Newfoundland and Labrador,High school diploma or its equivalent,English only,Yes,9
18-29,Male,Newfoundland and Labrador,Less than high school,Both English and French,No,1
18-29,Male,Newfoundland and Labrador,Less than high school,Both English and French,Yes,1
18-29,Male,Newfoundland and Labrador,Less than high school,English only,No,2
18-29,Male,Newfoundland and Labrador,Less than high school,English only,Yes,10
18-29,Male,Nova Scotia,Bachelor's degree,Both English and French,Yes,3
18-29,Male,Nova Scotia,Bachelor's degree,English only,No,3
18-29,Male,Nova Scotia,Bachelor's degree,English only,Yes,6
18-29,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,1
18-29,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,1
18-29,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,No,4
18-29,Male,Nova Scotia,"College, CEGEP, or other technical or non-university certificate",English only,Yes,3
18-29,Male,Nova Scotia,Degree above the bachelor's level,Both English and French,Yes,1
18-29,Male,Nova Scotia,Degree above the bachelor's level,English only,No,1
18-29,Male,Nova Scotia,Don't know/ Prefer not to answer,English only,No,1
18-29,Male,Nova Scotia,High school diploma or its equivalent,Both English and French,No,3
18-29,Male,Nova Scotia,High school diploma or its equivalent,Both English and French,Yes,3
18-29,Male,Nova Scotia,High school diploma or its equivalent,English only,No,10
18-29,Male,Nova Scotia,High school diploma or its equivalent,English only,Yes,16
18-29,Male,Nova Scotia,Less than high school,Both English and French,Yes,1
18-29,Male,Nova Scotia,Less than high school,English only,No,5
18-29,Male,Nova Scotia,Less than high school,English only,Yes,3
18-29,Male,Ontario,Bachelor's degree,Both English and French,No,3
18-29,Male,Ontario,Bachelor's degree,Both English and French,Yes,5
18-29,Male,Ontario,Bachelor's degree,English only,No,13
18-29,Male,Ontario,Bachelor's degree,English only,Yes,15
18-29,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,2
18-29,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
18-29,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,No,14
18-29,Male,Ontario,"College, CEGEP, or other technical or non-university certificate",English only,Yes,34
18-29,Male,Ontario,Degree above the bachelor's level,Both English and French,Yes,2
18-29,Male,Ontario,Degree above the bachelor's level,English only,No,4
18-29,Male,Ontario,Degree above the bachelor's level,English only,Yes,7
18-29,Male,Ontario,Don't know/ Prefer not to answer,English only,No,3
18-29,Male,Ontario,Don't know/ Prefer not to answer,Neither English nor French,No,1
18-29,Male,Ontario,High school diploma or its equivalent,Both English and French,No,5
18-29,Male,Ontario,High school diploma or its equivalent,Both English and French,Yes,10
18-29,Male,Ontario,High school diploma or its equivalent,English only,No,31
18-29,Male,Ontario,High school diploma or its equivalent,English only,Yes,63
18-29,Male,Ontario,High school diploma or its equivalent,French only,Yes,1
18-29,Male,Ontario,Less than high school,Both English and French,No,3
18-29,Male,Ontario,Less than high school,Both English and French,Yes,6
18-29,Male,Ontario,Less than high school,English only,No,18
18-29,Male,Ontario,Less than high school,English only,Yes,34
18-29,Male,Ontario,University below the bachelor's level,English only,Yes,1
18-29,Male,Prince Edward Island,Bachelor's degree,English only,No,1
18-29,Male,Prince Edward Island,Bachelor's degree,English only,Yes,1
18-29,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
18-29,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,No,1
18-29,Male,Prince Edward Island,"College, CEGEP, or other technical or non-university certificate",English only,Yes,6
18-29,Male,Prince Edward Island,Don't know/ Prefer not to answer,English only,No,1
18-29,Male,Prince Edward Island,Don't know/ Prefer not to answer,English only,Yes,1
18-29,Male,Prince Edward Island,High school diploma or its equivalent,Both English and French,No,3
18-29,Male,Prince Edward Island,High school diploma or its equivalent,Both English and French,Yes,4
18-29,Male,Prince Edward Island,High school diploma or its equivalent,English only,No,1
18-29,Male,Prince Edward Island,High school diploma or its equivalent,English only,Yes,8
18-29,Male,Prince Edward Island,High school diploma or its equivalent,Neither English nor French,No,1
18-29,Male,Prince Edward Island,Less than high school,Both English and French,No,1
18-29,Male,Prince Edward Island,Less than high school,Both English and French,Yes,2
18-29,Male,Prince Edward Island,Less than high school,English only,No,4
18-29,Male,Prince Edward Island,Less than high school,English only,Yes,3
18-29,Male,Quebec,Bachelor's degree,Both English and French,No,2
18-29,Male,Quebec,Bachelor's degree,Both English and French,Yes,10
18-29,Male,Quebec,Bachelor's degree,French only,No,1
18-29,Male,Quebec,Bachelor's degree,French only,Yes,1
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,15
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,27
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",English only,Yes,1
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,No,4
18-29,Male,Quebec,"College, CEGEP, or other technical or non-university certificate",French only,Yes,14
18-29,Male,Quebec,Degree above the bachelor's level,Both English and French,Yes,3
18-29,Male,Quebec,Degree above the bachelor's level,English only,Yes,1
18-29,Male,Quebec,Don't know/ Prefer not to answer,English only,No,1
18-29,Male,Quebec,Don't know/ Prefer not to answer,French only,Yes,1
18-29,Male,Quebec,High school diploma or its equivalent,Both English and French,No,15
18-29,Male,Quebec,High school diploma or its equivalent,Both English and French,Yes,23
18-29,Male,Quebec,High school diploma or its equivalent,English only,No,2
18-29,Male,Quebec,High school diploma or its equivalent,French only,No,1
18-29,Male,Quebec,High school diploma or its equivalent,French only,Yes,8
18-29,Male,Quebec,High school diploma or its equivalent,Neither English nor French,No,1
18-29,Male,Quebec,Less than high school,Both English and French,No,6
18-29,Male,Quebec,Less than high school,Both English and French,Yes,19
18-29,Male,Quebec,Less than high school,English only,Yes,1
18-29,Male,Quebec,Less than high school,French only,No,5
18-29,Male,Quebec,Less than high school,French only,Yes,23
18-29,Male,Quebec,University below the bachelor's level,Both English and French,Yes,3
18-29,Male,Saskatchewan,Bachelor's degree,Both English and French,No,1
18-29,Male,Saskatchewan,Bachelor's degree,English only,No,1
18-29,Male,Saskatchewan,Bachelor's degree,English only,Yes,1
18-29,Male,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,No,6
18-29,Male,Saskatchewan,"College, CEGEP, or other technical or non-university certificate",English only,Yes,5
18-29,Male,Saskatchewan,High school diploma or its equivalent,Both English and French,Yes,1
18-29,Male,Saskatchewan,High school diploma or its equivalent,English only,No,9
18-29,Male,Saskatchewan,High school diploma or its equivalent,English only,Yes,18
18-29,Male,Saskatchewan,Less than high school,Both English and French,Yes,1
18-29,Male,Saskatchewan,Less than high school,English only,No,11
18-29,Male,Saskatchewan,Less than high school,English only,Yes,8
18-29,Male,Saskatchewan,University below the bachelor's level,English only,No,1
30-44,Female,Alberta,Bachelor's degree,Both English and French,No,3
30-44,Female,Alberta,Bachelor's degree,Both English and French,Yes,5
30-44,Female,Alberta,Bachelor's degree,English only,No,22
30-44,Female,Alberta,Bachelor's degree,English only,Yes,42
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,2
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,No,33
30-44,Female,Alberta,"College, CEGEP, or other technical or non-university certificate",English only,Yes,47
30-44,Female,Alberta,Degree above the bachelor's level,Both English and French,No,4
30-44,Female,Alberta,Degree above the bachelor's level,English only,No,7
30-44,Female,Alberta,Degree above the bachelor's level,English only,Yes,21
30-44,Female,Alberta,Don't know/ Prefer not to answer,English only,Yes,3
30-44,Female,Alberta,Don't know/ Prefer not to answer,Neither English nor French,No,1
30-44,Female,Alberta,High school diploma or its equivalent,Both English and French,Yes,2
30-44,Female,Alberta,High school diploma or its equivalent,English only,No,23
30-44,Female,Alberta,High school diploma or its equivalent,English only,Yes,32
30-44,Female,Alberta,Less than high school,English only,Yes,9
30-44,Female,Alberta,University below the bachelor's level,Both English and French,Yes,1
30-44,Female,Alberta,University below the bachelor's level,English only,No,1
30-44,Female,Alberta,University below the bachelor's level,English only,Yes,7
30-44,Female,British Columbia,Bachelor's degree,Both English and French,No,2
30-44,Female,British Columbia,Bachelor's degree,Both English and French,Yes,5
30-44,Female,British Columbia,Bachelor's degree,English only,No,34
30-44,Female,British Columbia,Bachelor's degree,English only,Yes,38
30-44,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,No,3
30-44,Female,British Columbia,"College, CEGEP, or other technical or non-university certificate",Both English and French,Yes,3
